1738739612553: GET: /api/users
1738739657199: GET: /api/users/1004
1738739737058: GET: /api/users/1004
1738739871173: POST: /api/users/1004
1738739936746: GET: /api/users/1004
1738744031179: ::1 GET: /api/users
1738747363567: ::1 GET: /api/users
1738748439211: ::1 GET: /api/users
1738749495126: ::1 GET: /api/users
1738755063838: ::1 GET: /api/users
1738755076773: ::1 POST: /api/users
1738756243903: ::1 POST: /api/users
1738756262373: ::1 POST: /api/users
1738756267120: ::1 POST: /api/users
1738756586287: ::1 GET: /api/users/20000
1738756601676: ::1 GET: /api/users/2
1738756746719: ::1 GET: /api/users
1738756802178: ::1 GET: /api/users/1
1738756836144: ::1 GET: /api/users/1
1738781562539: ::1 POST: /api/users/
1738817895298: ::1 POST: /api/users/
1738818377728: ::1 POST: /api/users/
1738822684260: ::1 POST: /api/users/
1738832766847: ::1 POST: /api/users/
1738832878084: ::1 POST: /api/users/
1738834093046: ::1 GET: /api/users/
1738834259066: ::1 GET: /users
1738834259328: ::1 GET: /favicon.ico
1738834343814: ::1 GET: /api/users/67a4541c542ceff948a1f0aa
1738834406402: ::1 GET: /api/users/67a4541c542ceff948a1f0aa
1738834695733: ::1 PATCH: /api/users/67a47b7e9f31f4f3f1f68cc0
1738834714084: ::1 PATCH: /api/users/67a47b7e9f31f4f3f1f68cc0
1738834898244: ::1 DELETE: /api/users/67a47b7e9f31f4f3f1f68cc0
1738834914370: ::1 DELETE: /api/users/67a47b7e9f31f4f3f1f68cc0
1738835146353: ::1 GET: /users
1738906376599: ::1 GET: /api/users
1738906402691: ::1 GET: /api/users
1738906671784: ::1 GET: /api/users
1738906931247: ::1 GET: /api/users
1738907097848: ::1 GET: /api/users
1738907195402: ::1 POST: /api/users
1738907242054: ::1 POST: /api/users
1738907420210: ::1 GET: /api/users/67a59e6a77392a0c60ff4ebc
1738907457552: ::1 DELETE: /api/users/67a59e6a77392a0c60ff4ebc
